country,year,gdp_per_hour_worked_1990_100
isr,2009,120.0
isr,2010,123.4000015258789
isr,2011,125.30000305175781
isr,2012,125.80000305175781
isr,2013,127.19999694824219
isr,2014,126.5
isr,2015,128.5
ita,1980,85.19999694824219
ita,1981,85.4000015258789
ita,1982,85.0999984741211
ita,1983,85.9000015258789
ita,1984,88.5999984741211
ita,1985,90.4000015258789
ita,1986,91.9000015258789
ita,1987,93.5
ita,1988,95.9000015258789
ita,1989,98.9000015258789
ita,1990,100.0
ita,1991,100.0
ita,1992,101.4000015258789
ita,1993,103.4000015258789
ita,1994,107.69999694824219
ita,1995,110.9000015258789
ita,1996,111.0
ita,1997,113.0999984741211
ita,1998,112.9000015258789
ita,1999,113.69999694824219
ita,2000,116.9000015258789
ita,2001,117.5
ita,2002,116.5
ita,2003,115.69999694824219
ita,2004,116.9000015258789
ita,2005,117.5
ita,2006,117.5
ita,2007,117.4000015258789
ita,2008,116.69999694824219
ita,2009,114.0999984741211
ita,2010,116.69999694824219
ita,2011,117.30000305175781
ita,2012,117.0
ita,2013,117.19999694824219
ita,2014,116.5
ita,2015,116.80000305175781
jam,1986,90.9000015258789
jam,1987,93.5999984741211
jam,1988,92.30000305175781
jam,1989,94.69999694824219
jam,1990,100.0
jam,1991,99.5999984741211
jam,1992,100.0999984741211
jam,1993,102.69999694824219
jam,1994,101.30000305175781
jam,1995,100.0
jam,1996,99.5
jam,1997,99.0999984741211
jam,1998,96.4000015258789
jam,1999,100.0
jam,2000,101.80000305175781
jam,2001,102.0999984741211
jam,2002,96.69999694824219
jam,2003,96.5
jam,2004,98.30000305175781
jam,2005,96.30000305175781
jam,2006,95.5
jam,2007,107.69999694824219
jam,2008,106.4000015258789
jam,2009,109.0
jam,2010,110.5999984741211
jam,2011,112.30000305175781
jam,2012,111.4000015258789
jam,2013,111.69999694824219
jam,2014,110.30000305175781
jam,2015,110.5
jpn,1980,70.9000015258789
jpn,1981,73.0999984741211
jpn,1982,74.80000305175781
jpn,1983,75.69999694824219
jpn,1984,77.9000015258789
jpn,1985,81.5
jpn,1986,83.30000305175781
jpn,1987,86.4000015258789
jpn,1988,90.9000015258789
jpn,1989,94.9000015258789
jpn,1990,100.0
jpn,1991,103.0
jpn,1992,104.5
jpn,1993,107.5999984741211
jpn,1994,108.69999694824219
jpn,1995,111.30000305175781
jpn,1996,113.5999984741211
jpn,1997,116.19999694824219
jpn,1998,116.5999984741211
jpn,1999,120.0999984741211
jpn,2000,122.9000015258789
jpn,2001,124.5999984741211
jpn,2002,127.30000305175781
jpn,2003,129.3000030517578
jpn,2004,132.39999389648438
jpn,2005,134.10000610351562
jpn,2006,135.0
jpn,2007,137.3000030517578
jpn,2008,137.60000610351562
jpn,2009,136.39999389648438
jpn,2010,141.8000030517578
jpn,2011,141.89999389648438
jpn,2012,142.89999389648438
jpn,2013,145.1999969482422
jpn,2014,144.3000030517578
jpn,2015,144.8000030517578
kor,1980,51.900001525878906
kor,1981,53.5
kor,1982,55.900001525878906
kor,1983,61.400001525878906
kor,1984,67.19999694824219
kor,1985,69.5999984741211
kor,1986,74.19999694824219
kor,1987,79.30000305175781
kor,1988,86.9000015258789
kor,1989,92.19999694824219
kor,1990,100.0
kor,1991,107.19999694824219
kor,1992,112.0999984741211
kor,1993,117.0999984741211
kor,1994,124.0999984741211
kor,1995,131.0
kor,1996,138.10000610351562
kor,1997,146.60000610351562
kor,1998,152.60000610351562
kor,1999,165.60000610351562
kor,2000,171.6999969482422
kor,2001,176.8000030517578
kor,2002,187.5
kor,2003,196.5
kor,2004,204.8000030517578
kor,2005,213.6999969482422
kor,2006,222.39999389648438
kor,2007,235.6999969482422
kor,2008,247.39999389648438
kor,2009,251.39999389648438
kor,2010,269.6000061035156
kor,2011,287.5
kor,2012,279.1000061035156
kor,2013,294.29998779296875
kor,2014,300.0
kor,2015,304.6000061035156
lva,1990,100.0
lva,1991,88.5
lva,1992,65.69999694824219
lva,1993,62.5
lva,1994,70.0999984741211
lva,1995,78.30000305175781
lva,1996,81.9000015258789
lva,1997,83.0999984741211
lva,1998,89.0
lva,1999,92.19999694824219
lva,2000,95.0
lva,2001,101.0
lva,2002,107.30000305175781
lva,2003,115.0999984741211
lva,2004,125.9000015258789
lva,2005,134.3000030517578
lva,2006,169.10000610351562
lva,2007,181.5
lva,2008,166.3000030517578
lva,2009,170.89999389648438
lva,2010,179.39999389648438
lva,2011,183.89999389648438
lva,2012,191.8000030517578
lva,2013,196.10000610351562
lva,2014,202.3000030517578
lva,2015,207.10000610351562
ltu,1990,100.0
ltu,1991,92.4000015258789
ltu,1992,75.4000015258789
ltu,1993,65.9000015258789
ltu,1994,62.29999923706055
ltu,1995,74.4000015258789
